Epoch,Generator Loss,Discriminator Loss
0,0.7986391186714172,0.09091762453317642
1,0.7968859076499939,0.11925216019153595
2,0.8098995089530945,0.09307926893234253
3,0.8239354491233826,0.09343764185905457
4,0.8243234753608704,0.08809951692819595
5,0.8205115795135498,0.10806488990783691
6,0.8249346017837524,0.09195401519536972
7,0.8334968090057373,0.1059587150812149
8,0.8328173160552979,0.08259370177984238
9,0.8406519889831543,0.09986241906881332
10,0.8489120602607727,-0.0061468705534935
11,0.879404604434967,0.09236577153205872
12,0.9146625399589539,0.10669338703155518
13,0.888037383556366,0.07170221954584122
14,0.894927442073822,-0.007124274969100952
15,0.8850248456001282,0.031525105237960815
16,0.9199070930480957,0.05732685327529907
17,0.9424715638160706,0.03938230127096176
18,0.9890331625938416,-0.030837714672088623
19,0.988791286945343,-0.050644055008888245
20,1.0195502042770386,0.14268268644809723
21,1.0881025791168213,0.13461609184741974
22,1.0112494230270386,0.018603898584842682
23,1.0423771142959595,-0.09817909449338913
24,1.0394221544265747,0.018267005681991577
25,1.0481377840042114,-0.20198902487754822
26,1.054181456565857,-0.1529012769460678
27,1.0632799863815308,-0.16147932410240173
28,1.1009199619293213,-0.004609130322933197
29,1.1006498336791992,-0.06430564075708389
30,1.147156834602356,-0.3329967260360718
31,1.277387261390686,0.044315993785858154
32,1.249976396560669,-0.038025230169296265
33,1.251846194267273,-0.17778949439525604
34,1.2312309741973877,-0.19540539383888245
35,1.3447074890136719,-0.3766217827796936
36,1.2259951829910278,0.23854592442512512
37,1.2520911693572998,-0.24016788601875305
38,1.1976361274719238,0.07724905014038086
39,1.419571042060852,0.10590562224388123
40,1.587264895439148,-0.8617719411849976
41,1.3831456899642944,0.017169013619422913
42,1.2272043228149414,-0.09600161761045456
43,1.4471092224121094,-0.23051290214061737
44,1.659498691558838,-0.22337853908538818
45,1.8792780637741089,-0.23722587525844574
46,1.4956889152526855,0.1782282143831253
47,1.4175848960876465,-0.25435203313827515
48,1.9760218858718872,0.33513343334198
49,2.0509636402130127,-0.1459430754184723
50,1.644973635673523,-0.06504733115434647
51,1.8649661540985107,-0.9030247926712036
52,1.580106496810913,-0.05307036638259888
53,2.0151731967926025,-1.0383127927780151
54,2.194220781326294,-0.5055521130561829
55,1.9439536333084106,-0.34800979495048523
56,1.8598670959472656,0.18682660162448883
57,1.969711422920227,-1.293886423110962
58,2.106621265411377,-1.4851986169815063
59,2.0847811698913574,-0.015288814902305603
60,2.1645348072052,-1.444395661354065
61,2.4405012130737305,-1.1209512948989868
62,2.4637835025787354,-0.5991737842559814
63,2.3638803958892822,-0.3314794898033142
64,2.4605586528778076,-0.4947443902492523
65,2.3855457305908203,-0.7714369297027588
66,2.4740803241729736,-0.7873800992965698
67,2.494558572769165,-1.0774781703948975
68,2.7032036781311035,-0.8610879182815552
69,2.2012979984283447,-1.180529236793518
70,2.8548526763916016,-0.9810865521430969
71,2.3581860065460205,-1.3427385091781616
72,2.450284004211426,-0.6500240564346313
73,2.47625732421875,-1.0162265300750732
74,2.515625238418579,-0.9964277148246765
75,2.4702117443084717,-0.9520368576049805
76,2.4357714653015137,-1.3252902030944824
77,2.3181698322296143,-1.4536246061325073
78,2.531468391418457,-1.3087193965911865
79,2.4731457233428955,-2.0449163913726807
80,2.86820912361145,-1.6240007877349854
81,2.8512489795684814,-1.48381507396698
82,2.7897591590881348,-1.5400210618972778
83,2.976879596710205,-1.8112094402313232
84,2.6819121837615967,-1.2345224618911743
85,2.7981131076812744,-1.1051329374313354
86,2.8060545921325684,-1.6832270622253418
87,2.3380630016326904,-1.3727169036865234
88,2.716233253479004,-1.8086615800857544
89,2.4728431701660156,-1.5192230939865112
90,2.8565638065338135,-2.1869282722473145
91,2.8441386222839355,-1.8774082660675049
92,2.735213041305542,-1.8597849607467651
93,2.757223129272461,-1.5631742477416992
94,3.189481019973755,-1.4008132219314575
95,2.7983782291412354,-1.7318613529205322
96,3.4072461128234863,-1.6961190700531006
97,3.1105380058288574,-1.2546305656433105
98,3.0182037353515625,-2.018613338470459
99,2.708402156829834,-1.7581253051757812
100,2.9240059852600098,-1.1425859928131104
101,3.0623302459716797,-1.875275731086731
102,2.960024118423462,-1.758126974105835
103,3.293800115585327,-2.264958381652832
104,3.1144678592681885,-1.3358591794967651
105,3.0788416862487793,-1.9471867084503174
106,3.1739180088043213,-1.2173123359680176
107,3.0592758655548096,-1.6299996376037598
108,3.508531093597412,-2.3023345470428467
